'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'BADGER-USD','15m','BADGER-USD','2021-09-01','2021-09-25','15','21.28','-9.3',1571,'27','3.46','169.0','1','4',2024,-307,'4','11','-27.8'
'BAT-USD','15m','BAT-USD','2021-09-01','2021-09-25','10','15.1','-4.57',679,'70','4.74','148.8','4','3',463,-232,'7','3','-19.5'
'RAMP-USD','15m','RAMP-USD','2021-09-01','2021-09-25','14','20.26','-9.67',1379,'43','3.61','142.58','2','3',2027,-303,'6','8','-9.48'
'REEF-USD','15m','REEF-USD','2021-09-01','2021-09-25','9','16.91','-6.62',879,'33','3.63','132.76','2','5',1518,-264,'3','6','-21.36'
'EXCH-USD','15m','EXCH-USD','2021-09-01','2021-09-25','16','20.25','-12.37',1377,'31','3.9','111.32','2','6',1492,-296,'5','11','-12.86'
'SHIT-USD','15m','SHIT-USD','2021-09-01','2021-09-25','13','17.05','-8.29',896,'46','3.96','108.08','3','4',1451,-267,'6','7','-14.68'
'HOT-USD','15m','HOT-USD','2021-09-01','2021-09-25','16','19.43','-12.13',1237,'31','3.17','101.96','1','4',1577,-291,'5','11','-22.18'
'CRV-USD','15m','CRV-USD','2021-09-01','2021-09-25','15','21.04','-16.13',1526,'20','3.29','94.55','2','10',2939,-312,'3','12','8.66'
'ASD-USD','15m','ASD-USD','2021-09-01','2021-09-25','7','10.15','-3.52',310,'57','3.89','88.15','3','2',762,-257,'4','3','1.58'
'ALT-USD','15m','ALT-USD','2021-09-01','2021-09-25','16','13.72','-6.67',554,'44','3.52','83.05','3','5',1136,-209,'7','9','-16.2'
'MVDA10-USD','15m','MVDA10-USD','2021-09-01','2021-09-25','16','14.77','-8.72',647,'44','3.84','74.23','2','6',1083,-270,'7','9','-12.34'
'BTT-USD','15m','BTT-USD','2021-09-01','2021-09-25','20','16.02','-10.57',776,'45','3.22','73.35','2','3',1471,-310,'9','11','-21.68'
'ZRX-USD','15m','ZRX-USD','2021-09-01','2021-09-25','11','12.68','-6.55',472,'45','3.06','72.01','2','3',1455,-259,'5','6','-13.54'
