'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','3B:Op','2021-02-01','2021-08-01','96','38.99','-16.09',94,'41','2.71','5.81','4','8',716,-209,'39','57','93.52'
'ETH-USD','5m','-gh1','2021-02-01','2021-08-01','368','50.87','-22.22',128,'28','1.79','5.77','6','11',1648,-356,'104','264','93.52'
'ETH-USD','5m','+lQVB','2021-02-01','2021-08-01','361','55.69','-25.02',143,'22','1.78','5.72','3','14',1723,-474,'81','280','93.52'
'ETH-USD','5m','\\GPOp','2021-02-01','2021-08-01','73','32.52','-13.37',76,'38','1.49','5.68','4','4',1988,-447,'28','45','93.52'
'ETH-USD','5m','v0jVI','2021-02-01','2021-08-01','217','39.15','-16.7',94,'41','1.53','5.63','6','7',1923,-577,'90','127','93.52'
'ETH-USD','5m',',lj:/','2021-02-01','2021-08-01','368','50.75','-23.09',128,'24','1.6','5.53','3','13',2139,-455,'87','281','93.52'
'ETH-USD','5m','=cj.6','2021-02-01','2021-08-01','236','42.35','-18.76',103,'28','1.53','5.49','3','13',1621,-399,'67','169','93.52'
'ETH-USD','5m',')K)VI','2021-02-01','2021-08-01','627','34.17','-14.7',80,'30','1.78','5.46','5','16',401,-270,'190','437','93.52'
'ETH-USD','5m','wnPVp','2021-02-01','2021-08-01','41','31.61','-13.47',73,'37','1.81','5.45','3','5',2448,-534,'15','26','93.52'
'ETH-USD','5m','<CW4I','2021-02-01','2021-08-01','332','49.05','-22.61',123,'34','1.63','5.42','5','9',2006,-394,'114','218','93.52'
'ETH-USD','5m','VL:OV','2021-02-01','2021-08-01','180','37.65','-16.6',90,'36','1.6','5.41','5','6',920,-596,'65','115','93.52'
'ETH-USD','5m','VKPOM','2021-02-01','2021-08-01','198','32.56','-14.33',76,'35','1.33','5.3','4','7',1864,-425,'70','128','93.52'
'ETH-USD','5m','Gl)Vs','2021-02-01','2021-08-01','56','23.92','-10.16',54,'43','1.81','5.29','2','4',645,-331,'24','32','93.52'
'ETH-USD','5m','wc:OV','2021-02-01','2021-08-01','99','47.67','-22.4',119,'35','1.86','5.29','3','11',1990,-501,'35','64','93.52'
'ETH-USD','5m','_cPOm','2021-02-01','2021-08-01','75','29.19','-12.83',67,'33','1.22','5.23','4','5',2317,-1226,'25','50','93.52'
'ETH-USD','5m','.kPgI','2021-02-01','2021-08-01','281','51.94','-25.12',131,'25','1.7','5.23','3','12',1613,-435,'70','211','93.52'
'ETH-USD','5m','k.POm','2021-02-01','2021-08-01','102','26.67','-11.65',61,'52','1.81','5.21','5','5',971,-532,'53','49','93.52'
'ETH-USD','5m','JSIgn','2021-02-01','2021-08-01','38','26.25','-11.57',60,'37','1.49','5.15','1','5',1776,-364,'14','24','93.52'
'ETH-USD','5m','V@Q<P','2021-02-01','2021-08-01','220','37.49','-17.43',89,'37','1.48','5.13','4','9',1427,-571,'82','138','93.52'
'ETH-USD','5m','H8*<l','2021-02-01','2021-08-01','220','32.43','-14.85',76,'44','1.82','5.09','6','6',380,-440,'97','123','93.52'
'ETH-USD','5m','1`WVI','2021-02-01','2021-08-01','296','54.28','-27.24',139,'28','1.73','5.09','3','11',2029,-366,'82','214','93.52'
'ETH-USD','5m',',jQVB','2021-02-01','2021-08-01','356','50.68','-25.15',128,'23','1.69','5.07','5','13',1549,-431,'82','274','93.52'
'ETH-USD','5m','WnPVp','2021-02-01','2021-08-01','60','32.5','-15.23',76,'42','1.6','4.98','2','5',1661,-1194,'25','35','93.52'
'ETH-USD','5m','6cV4I','2021-02-01','2021-08-01','252','50.61','-25.6',127,'28','1.66','4.97','4','11',2061,-546,'71','181','93.52'
'ETH-USD','5m','>2PVp','2021-02-01','2021-08-01','48','18.18','-8.06',40,'52','2.23','4.94','4','5',654,-289,'25','23','93.52'
'ETH-USD','5m','t=haB','2021-02-01','2021-08-01','192','35.36','-17.03',84,'40','1.43','4.91','4','9',2101,-1017,'77','115','93.52'
'ETH-USD','5m','Gl)Vr','2021-02-01','2021-08-01','57','22.34','-10.16',50,'42','1.68','4.9','2','4',645,-331,'24','33','93.52'
'ETH-USD','5m','jo:OV','2021-02-01','2021-08-01','109','48.07','-24.45',120,'35','1.81','4.9','2','9',2086,-1422,'38','71','93.52'
'ETH-USD','5m','@GjU/','2021-02-01','2021-08-01','277','48.75','-24.84',122,'35','1.54','4.9','5','9',1739,-518,'98','179','93.52'
'ETH-USD','5m','N4hHB','2021-02-01','2021-08-01','304','45.65','-23.14',113,'40','1.83','4.87','6','7',1195,-418,'121','183','93.52'
'ETH-USD','5m','<W4I','2021-02-01','2021-08-01','239','49.11','-25.47',123,'30','1.63','4.82','5','11',1607,-420,'72','167','93.52'
'ETH-USD','5m','3\\j:/','2021-02-01','2021-08-01','305','54.33','-28.86',139,'28','1.72','4.81','3','10',1768,-365,'85','220','93.52'
'ETH-USD','5m','N?L9I','2021-02-01','2021-08-01','241','37.46','-18.99',89,'37','1.44','4.7','3','9',1380,-443,'90','151','93.52'
'ETH-USD','5m','1`LVI','2021-02-01','2021-08-01','296','44.57','-23.4',109,'28','1.55','4.68','3','11',1574,-352,'82','214','93.52'
'ETH-USD','5m','rl>>I','2021-02-01','2021-08-01','117','39.45','-20.24',95,'32','1.52','4.68','2','9',2151,-781,'38','79','93.52'
'ETH-USD','5m','VPOm','2021-02-01','2021-08-01','79','30.58','-15.36',71,'37','1.3','4.61','2','5',2353,-667,'29','50','93.52'
'ETH-USD','5m','r3lgI','2021-02-01','2021-08-01','213','41.51','-22.01',101,'43','1.63','4.57','6','8',1844,-561,'91','122','93.52'
'ETH-USD','5m','HE*Vl','2021-02-01','2021-08-01','85','28.67','-14.43',66,'41','2.09','4.56','3','7',378,-406,'35','50','93.52'
'ETH-USD','5m','5/:OV','2021-02-01','2021-08-01','486','32.09','-16.52',75,'37','1.63','4.52','7','8',666,-300,'182','304','93.52'
'ETH-USD','5m','\\L<KI','2021-02-01','2021-08-01','186','31.32','-16.17',73,'36','1.34','4.5','3','6',1270,-673,'67','119','93.52'
'ETH-USD','5m','r1WVI','2021-02-01','2021-08-01','219','33.42','-17.42',78,'41','1.43','4.49','4','7',1406,-567,'90','129','93.52'
'ETH-USD','5m','N?QqB','2021-02-01','2021-08-01','253','36.82','-19.51',88,'36','1.4','4.49','3','11',1525,-443,'91','162','93.52'
'ETH-USD','5m','NSWRm','2021-02-01','2021-08-01','91','30.67','-15.9',71,'38','1.53','4.47','4','5',1184,-376,'35','56','93.52'
'ETH-USD','5m','+lWVB','2021-02-01','2021-08-01','361','46.43','-25.83',115,'22','1.56','4.45','3','14',1600,-432,'81','280','93.52'
'ETH-USD','5m','Nn;XI','2021-02-01','2021-08-01','150','33.23','-17.63',78,'31','1.3','4.41','3','8',1301,-827,'46','104','93.52'
'ETH-USD','5m','@l;:/','2021-02-01','2021-08-01','197','36.06','-19.49',85,'27','1.38','4.38','3','11',1701,-621,'53','144','93.52'
