'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'CHZ-USDT','5m','CHZ-USDT','2021-10-01','2021-11-15','110','57.13','-79.38',3509,'35','0.44','2.92','44.21','4','14',7722,-5241,'38','72','111.39'
'THETA-USDT','5m','THETA-USDT','2021-10-01','2021-11-15','76','42.96','-56.96',1605,'36','0.33','2.38','28.17','5','9',3048,-1518,'27','49','39.43'
'AKRO-USDT','5m','AKRO-USDT','2021-10-01','2021-11-15','85','44.1','-62.05',1716,'39','0.34','2.37','27.65','5','10',7599,-3457,'33','52','56.72'
'TOMO-USDT','5m','TOMO-USDT','2021-10-01','2021-11-15','80','42.29','-58.69',1542,'34','0.31','2.31','26.28','4','7',3270,-1928,'27','53','38.59'
'DODO-USDT','5m','DODO-USDT','2021-10-01','2021-11-15','88','35.41','-46.03',1008,'36','0.7','2.26','21.91','4','6',4640,-4330,'32','56','40.08'
'EGLD-USDT','5m','EGLD-USDT','2021-10-01','2021-11-15','89','27.23','-56.02',576,'33','0.22','2.01','10.28','3','10',2847,-2003,'29','60','52.53'
'ENJ-USDT','5m','ENJ-USDT','2021-10-01','2021-11-15','99','26.23','-59.5',535,'35','0.27','2.18','8.99','3','10',4584,-2842,'35','64','135.76'
'BAND-USDT','5m','BAND-USDT','2021-10-01','2021-11-15','87','22.41','-52.03',398,'30','0.23','2.01','7.64','4','7',3173,-1717,'26','61','22.48'
'YFI-USDT','5m','YFI-USDT','2021-10-01','2021-11-15','74','16.91','-59.01',245,'34','0.08','1.69','4.16','5','10',2878,-1479,'25','49','14.97'
'UNFI-USDT','5m','UNFI-USDT','2021-10-01','2021-11-15','98','11.58','-71.19',139,'35','0.06','1.84','1.95','3','10',4484,-2342,'34','64','51.0'
'NEO-USDT','5m','NEO-USDT','2021-10-01','2021-11-15','82','4.22','-45.39',39,'30','0.07','1.32','0.86','4','7',2336,-1189,'25','57','24.0'
'SKL-USDT','5m','SKL-USDT','2021-10-01','2021-11-15','98','4.62','-58.54',43,'40','0.04','1.61','0.74','3','6',4438,-4334,'39','59','23.84'
'RSR-USDT','5m','RSR-USDT','2021-10-01','2021-11-15','96','4.02','-64.88',37,'35','0.03','1.75','0.57','3','9',4711,-4280,'34','62','41.71'
'TRX-USDT','5m','TRX-USDT','2021-10-01','2021-11-15','63','0.84','-34.78',7,'35','0.01','0.89','0.2','4','7',2284,-1205,'22','41','31.0'
'CELO-USDT','5m','CELO-USDT','2021-10-01','2021-11-15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1INCH-USDT','5m','1INCH-USDT','2021-10-01','2021-11-15','94','-4.47','-58.19',-30,'34','-0.04','1.25','-0.52','3','9',4665,-2903,'32','62','67.32'
'LTC-USDT','5m','LTC-USDT','2021-10-01','2021-11-15','73','-3.23','-42.74',-23,'32','-0.06','0.95','-0.54','3','8',2974,-2043,'23','50','82.65'
'ZEN-USDT','5m','ZEN-USDT','2021-10-01','2021-11-15','84','-6.43','-73.43',-41,'39','-0.02','1.39','-0.56','3','6',2988,-2767,'33','51','38.87'
'BTT-USDT','5m','BTT-USDT','2021-10-01','2021-11-15','144','-100.0','-100.0',-100,'3','-0.13','-28.04','-1.0','1','57',258,-790,'5','139','19.55'
'DYDX-USDT','5m','DYDX-USDT','2021-10-01','2021-11-15','101','-96.04','-96.83',-100,'25','-0.2','-5.27','-1.03','3','8',1559,-1967,'25','76','-37.45'
'CELR-USDT','5m','CELR-USDT','2021-10-01','2021-11-15','109','-92.55','-96.94',-100,'25','-0.22','-2.99','-1.03','6','12',2245,-1477,'27','82','-12.6'
'C98-USDT','5m','C98-USDT','2021-10-01','2021-11-15','99','-96.41','-97.06',-100,'23','-0.18','-6.97','-1.03','3','8',2377,-2530,'23','76','21.46'
'DENT-USDT','5m','DENT-USDT','2021-10-01','2021-11-15','120','-96.72','-97.26',-100,'24','-0.24','-3.84','-1.03','3','14',1851,-3040,'29','91','57.2'
'ZRX-USDT','5m','ZRX-USDT','2021-10-01','2021-11-15','96','-22.71','-83.87',-87,'30','-0.09','1.07','-1.04','5','10',2269,-3126,'29','67','41.25'
'XTZ-USDT','5m','XTZ-USDT','2021-10-01','2021-11-15','88','-93.38','-95.01',-100,'24','-0.16','-6.61','-1.05','2','12',2419,-1879,'21','67','-3.87'
'ALICE-USDT','5m','ALICE-USDT','2021-10-01','2021-11-15','102','-90.26','-94.85',-100,'28','-0.18','-3.65','-1.05','3','9',2784,-2744,'29','73','22.73'
'1000XEC-USDT','5m','1000XEC-USDT','2021-10-01','2021-11-15','95','-94.15','-95.23',-100,'19','-0.19','-5.14','-1.05','2','11',2269,-1432,'18','77','-14.99'
'AXS-USDT','5m','AXS-USDT','2021-10-01','2021-11-15','90','-90.47','-94.68',-100,'27','-0.19','-3.19','-1.06','3','14',2784,-2511,'24','66','91.06'
'BCH-USDT','5m','BCH-USDT','2021-10-01','2021-11-15','58','-10.82','-56.51',-60,'33','-0.06','0.36','-1.06','4','8',2683,-1367,'19','39','35.39'
'ICP-USDT','5m','ICP-USDT','2021-10-01','2021-11-15','96','-93.11','-94.39',-100,'25','-0.17','-5.42','-1.06','2','12',2269,-1167,'24','72','7.25'
'MANA-USDT','5m','MANA-USDT','2021-10-01','2021-11-15','98','-92.18','-93.62',-100,'34','-0.29','-3.5','-1.07','3','7',2269,-5276,'33','65','366.61'
'REN-USDT','5m','REN-USDT','2021-10-01','2021-11-15','104','-83.15','-92.58',-100,'28','-0.16','-2.79','-1.08','4','15',4190,-2676,'29','75','-2.15'
'OGN-USDT','5m','OGN-USDT','2021-10-01','2021-11-15','102','-88.6','-92.89',-100,'30','-0.24','-2.97','-1.08','3','12',2728,-1591,'31','71','52.05'
'ONT-USDT','5m','ONT-USDT','2021-10-01','2021-11-15','77','-13.33','-62.58',-68,'34','-0.09','1.21','-1.08','3','7',2157,-1742,'26','51','43.6'
'LIT-USDT','5m','LIT-USDT','2021-10-01','2021-11-15','108','-79.84','-92.91',-100,'27','-0.19','-2.42','-1.08','3','11',4688,-2134,'29','79','54.04'
'STORJ-USDT','5m','STORJ-USDT','2021-10-01','2021-11-15','98','-57.39','-91.47',-100,'35','-0.23','1.98','-1.09','4','8',3710,-8301,'34','64','59.54'
'IOTX-USDT','5m','IOTX-USDT','2021-10-01','2021-11-15','98','-67.88','-90.52',-100,'36','-0.55','0.68','-1.1','8','8',5678,-7081,'35','63','286.42'
'CHR-USDT','5m','CHR-USDT','2021-10-01','2021-11-15','110','-71.79','-91.05',-100,'41','-0.27','-0.14','-1.1','4','7',4063,-4593,'45','65','322.72'
