'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'LINK-USD','5m','LINK-USD','2021-08-01','2021-09-25','56','1.63','-9.45',11,'39','0.53','1.18','3','8',224,-244,'22','34','2.46'
'ORBS-USD','5m','ORBS-USD','2021-08-01','2021-09-25','50','1.88','-11.98',13,'42','0.54','1.08','4','7',228,-278,'21','29','25.61'
'XMR-USD','5m','XMR-USD','2021-08-01','2021-09-25','49','1.13','-9.26',8,'37','0.43','0.82','4','8',222,-220,'18','31','-2.79'
'ATOM-USD','5m','ATOM-USD','2021-08-01','2021-09-25','63','1.55','-15.78',11,'51','0.45','0.67','4','5',241,-534,'32','31','237.56'
'LINA-USD','5m','LINA-USD','2021-08-01','2021-09-25','56','1.15','-11.65',8,'43','0.39','0.67','6','6',228,-284,'24','32','-10.76'
'XRP-USD','5m','XRP-USD','2021-08-01','2021-09-25','39','0.8','-8.68',5,'38','0.32','0.61','4','5',213,-290,'15','24','26.53'
'FLOW-USD','5m','FLOW-USD','2021-08-01','2021-09-25','60','0.7','-13.35',5,'38','0.3','0.35','4','11',218,-342,'23','37','-30.48'
'MID-USD','5m','MID-USD','2021-08-01','2021-09-25','48','0.14','-14.27',1,'38','0.17','0.07','4','10',228,-170,'18','30','10.25'
'XTZ-USD','5m','XTZ-USD','2021-08-01','2021-09-25','55','-0.01','-17.31',0,'45','0.17','-0.0','8','6',248,-400,'25','30','130.17'
'DYDX-USD','5m','DYDX-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AGLD-USD','5m','AGLD-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CVC-USD','5m','CVC-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATLAS-USD','5m','ATLAS-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ONE-USD','5m','ONE-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALICE-USD','5m','ALICE-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'POLIS-USD','5m','POLIS-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MNGO-USD','5m','MNGO-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TULIP-USD','5m','TULIP-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MANA-USD','5m','MANA-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'EDEN-USD','5m','EDEN-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHR-USD','5m','CHR-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USD','5m','TLM-USD','2021-08-01','2021-09-25',0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTC-USD','5m','BTC-USD','2021-08-01','2021-09-25','37','-0.05','-9.41',0,'30','0.09','-0.04','4','8',211,-170,'11','26','3.29'
'BNT-USD','5m','BNT-USD','2021-08-01','2021-09-25','45','-0.68','-13.6',-4,'29','-0.07','-0.32','3','7',216,-156,'13','32','-2.72'
'REEF-USD','5m','REEF-USD','2021-08-01','2021-09-25','54','-1.48','-18.51',-9,'39','-0.06','-0.5','4','7',208,-245,'21','33','22.53'
'ETC-USD','5m','ETC-USD','2021-08-01','2021-09-25','47','-0.62','-7.51',-4,'36','0.01','-0.53','3','6',214,-190,'17','30','-7.36'
'DOGE-USD','5m','DOGE-USD','2021-08-01','2021-09-25','44','-1.45','-13.02',-9,'43','-0.17','-0.7','3','5',222,-330,'19','25','0.78'
'AAVE-USD','5m','AAVE-USD','2021-08-01','2021-09-25','45','-2.04','-17.39',-13,'36','-0.29','-0.72','5','9',225,-251,'16','29','-15.21'
'HNT-USD','5m','HNT-USD','2021-08-01','2021-09-25','62','-1.67','-14.1',-10,'39','-0.16','-0.74','6','8',231,-263,'24','38','27.52'
'MTL-USD','5m','MTL-USD','2021-08-01','2021-09-25','48','-2.64','-12.58',-16,'44','-0.26','-1.27','4','5',233,-516,'21','27','27.08'
