['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['RVN-USDT', '5m', 'RVN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZIL-USDT', '5m', 'ZIL-USDT', '2020-10-01', '2021-10-01', '550', '104.95', '-57.12', 105, '37', '0.46', '1.21', '1.84', '4', '11', 1660, -1389, '202', '348', '337.48']
['YFII-USDT', '5m', 'YFII-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZRX-USDT', '5m', 'ZRX-USDT', '2020-10-01', '2021-10-01', '538', '74.5', '-73.25', 74, '38', '0.13', '1.06', '1.02', '6', '9', 1260, -955, '205', '333', '122.9']
['LRC-USDT', '5m', 'LRC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RSR-USDT', '5m', 'RSR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NKN-USDT', '5m', 'NKN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SC-USDT', '5m', 'SC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAT-USDT', '5m', 'BAT-USDT', '2020-10-01', '2021-10-01', '502', '-65.53', '-83.19', -66, '35', '-0.05', '-0.56', '-0.79', '4', '10', 750, -550, '177', '325', '164.04']
['ATA-USDT', '5m', 'ATA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GTC-USDT', '5m', 'GTC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KNC-USDT', '5m', 'KNC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XEM-USDT', '5m', 'XEM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OCEAN-USDT', '5m', 'OCEAN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CELO-USDT', '5m', 'CELO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNFI-USDT', '5m', 'UNFI-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ANKR-USDT', '5m', 'ANKR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DGB-USDT', '5m', 'DGB-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DEFI-USDT', '5m', 'DEFI-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTCDOM-USDT', '5m', 'BTCDOM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
