'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'XRP-USDT','5m','XRP-USDT','2021-06-01','2021-10-01','32','17.35','-7.0',61,'62','1.11','1.59','8.6','4','3',737,-712,'20','12','-7.68'
'DODO-USDT','5m','DODO-USDT','2021-06-01','2021-10-01','31','31.71','-15.0',128,'74','0.87','2.6','8.4','9','2',903,-1429,'23','8','-26.44'
'COMP-USDT','5m','COMP-USDT','2021-06-01','2021-10-01','35','17.86','-9.0',74,'57','0.86','1.95','8.03','3','3',699,-799,'20','15','-26.61'
'UNI-USDT','5m','UNI-USDT','2021-06-01','2021-10-01','37','14.77','-8.0',63,'57','1.35','1.69','7.58','7','3',753,-583,'21','16','-16.31'
'ZIL-USDT','5m','ZIL-USDT','2021-06-01','2021-10-01','30','17.84','-8.0',63,'70','0.92','1.68','7.49','5','2',703,-649,'21','9','-25.81'
'LINK-USDT','5m','LINK-USDT','2021-06-01','2021-10-01','39','25.56','-14.0',106,'67','2.44','2.1','7.44','5','4',902,-1069,'26','13','-24.63'
'RSR-USDT','5m','RSR-USDT','2021-06-01','2021-10-01','40','17.73','-12.0',88,'55','0.95','1.71','7.16','7','5',847,-829,'22','18','-23.64'
'OGN-USDT','5m','OGN-USDT','2021-06-01','2021-10-01','35','15.01','-9.0',66,'49','0.99','1.6','7.06','4','3',766,-803,'17','18','-30.77'
'REEF-USDT','5m','REEF-USDT','2021-06-01','2021-10-01','26','31.32','-20.0',126,'73','0.78','2.25','6.35','8','4',771,-608,'19','7','-29.31'
'XLM-USDT','5m','XLM-USDT','2021-06-01','2021-10-01','34','17.11','-10.0',60,'76','0.53','2.05','5.85','9','3',707,-449,'26','8','-30.31'
'BNB-USDT','5m','BNB-USDT','2021-06-01','2021-10-01','39','16.84','-12.0',64,'62','0.63','1.76','5.54','4','3',804,-487,'24','15','10.18'
'1000SHIB-USDT','5m','1000SHIB-USDT','2021-06-01','2021-10-01','36','12.37','-13.0',71,'58','0.78','1.59','5.51','4','3',719,-685,'21','15','-21.45'
