'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'SOL-USDT','5m','SOL-USDT','2021-08-01','2021-10-01','26','-52.17','-24.0',-67,'62','-1.35','-2.85','8','5',153,-2259,'16','10','285.06'
'LIT-USDT','5m','LIT-USDT','2021-08-01','2021-10-01','22','-30.4','-24.0',-70,'68','-1.99','-2.91','4','2',154,-1382,'15','7','-9.91'
'HOT-USDT','5m','HOT-USDT','2021-08-01','2021-10-01','24','-38.24','-28.0',-84,'71','-1.27','-2.95','9','3',132,-2051,'17','7','25.12'
'ZIL-USDT','5m','ZIL-USDT','2021-08-01','2021-10-01','20','-28.92','-22.0',-64,'60','-2.15','-2.95','3','3',145,-1119,'12','8','2.77'
'NEAR-USDT','5m','NEAR-USDT','2021-08-01','2021-10-01','20','-21.33','-14.0',-43,'80','-0.83','-2.97','7','1',148,-1780,'16','4','187.87'
'1000SHIB-USDT','5m','1000SHIB-USDT','2021-08-01','2021-10-01','11','-23.18','-19.0',-58,'64','-2.2','-2.97','2','1',153,-983,'7','4','15.54'
'BTCDOM-USDT','5m','BTCDOM-USDT','2021-08-01','2021-10-01','10','-11.9','-14.0',-44,'50','-2.34','-3.07','3','2',136,-547,'5','5','-9.75'
'CRV-USDT','5m','CRV-USDT','2021-08-01','2021-10-01','34','-51.88','-22.0',-70,'68','-1.62','-3.22','5','2',153,-1715,'23','11','36.67'
'XRP-USDT','5m','XRP-USDT','2021-08-01','2021-10-01','25','-56.54','-24.0',-77,'52','-2.15','-3.25','6','3',145,-1371,'13','12','27.68'
'LTC-USDT','5m','LTC-USDT','2021-08-01','2021-10-01','22','-68.91','-14.0',-51,'55','-1.45','-3.69','4','3',145,-3639,'12','10','6.14'
'XLM-USDT','5m','XLM-USDT','2021-08-01','2021-10-01','14','-31.18','-19.0',-71,'57','-2.18','-3.8','3','2',147,-1450,'8','6','-2.34'
