['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['1INCH-USDT', '5m', '1INCH-USDT', '2021-08-01', '2021-10-01', '56', '78.12', '-25.41', 2892, '48', '3.34', '113.82', '4', '3', 1417, -1369, '27', '29', '7.54']
['ALICE-USDT', '5m', 'ALICE-USDT', '2021-08-01', '2021-10-01', '61', '-17.82', '-60.65', -68, '43', '0.39', '-1.13', '3', '7', 984, -1031, '26', '35', '-13.63']
['NEAR-USDT', '5m', 'NEAR-USDT', '2021-08-01', '2021-10-01', '67', '-0.08', '-49.25', 0, '49', '0.77', '-0.01', '5', '3', 1091, -1876, '33', '34', '187.87']
['BZRX-USDT', '5m', 'BZRX-USDT', '2021-08-01', '2021-10-01', '70', '-72.68', '-84.72', -100, '37', '-3.44', '-1.18', '4', '9', 803, -867, '26', '44', '8.63']
['OMG-USDT', '5m', 'OMG-USDT', '2021-08-01', '2021-10-01', '40', '-27.81', '-42.96', -85, '40', '-0.59', '-1.99', '4', '6', 833, -1957, '16', '24', '178.38']
['TRX-USDT', '5m', 'TRX-USDT', '2021-08-01', '2021-10-01', '47', '3.89', '-21.78', 25, '36', '0.69', '1.16', '3', '6', 1020, -910, '17', '30', '39.72']
['BAKE-USDT', '5m', 'BAKE-USDT', '2021-08-01', '2021-10-01', '57', '-2.63', '-32.04', -15, '42', '0.47', '-0.45', '3', '5', 972, -1086, '24', '33', '-14.92']
['GALA-USDT', '5m', 'GALA-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2021-08-01', '2021-10-01', '44', '-5.14', '-24.87', -27, '39', '0.27', '-1.07', '2', '5', 959, -904, '17', '27', '-17.16']
['EGLD-USDT', '5m', 'EGLD-USDT', '2021-08-01', '2021-10-01', '60', '-33.29', '-38.59', -91, '37', '-1.29', '-2.35', '2', '5', 864, -1015, '22', '38', '141.6']
['RUNE-USDT', '5m', 'RUNE-USDT', '2021-08-01', '2021-10-01', '60', '210.36', '-36.49', 78543, '60', '5.25', '2152.29', '4', '3', 2292, -2391, '36', '24', '8.17']
['IOTX-USDT', '5m', 'IOTX-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '5m', 'C98-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '5m', 'TLM-USDT', '2021-08-01', '2021-10-01', '55', '-50.07', '-59.48', -98, '35', '-2.58', '-1.65', '2', '6', 865, -1082, '19', '36', '-44.45']
['IOST-USDT', '5m', 'IOST-USDT', '2021-08-01', '2021-10-01', '49', '-50.59', '-56.65', -98, '39', '-2.53', '-1.74', '6', '4', 829, -1468, '19', '30', '100.18']
['KSM-USDT', '5m', 'KSM-USDT', '2021-08-01', '2021-10-01', '64', '-57.6', '-65.66', -99, '38', '-2.43', '-1.51', '3', '5', 830, -818, '24', '40', '67.01']
['SXP-USDT', '5m', 'SXP-USDT', '2021-08-01', '2021-10-01', '60', '-25.05', '-46.23', -82, '37', '-0.75', '-1.77', '3', '8', 965, -824, '22', '38', '1.15']
['VET-USDT', '5m', 'VET-USDT', '2021-08-01', '2021-10-01', '62', '42.89', '-27.44', 718, '45', '2.51', '26.15', '3', '5', 1145, -1093, '28', '34', '7.1']
['XLM-USDT', '5m', 'XLM-USDT', '2021-08-01', '2021-10-01', '45', '81.27', '-18.94', 3217, '44', '4.0', '169.82', '4', '4', 1510, -1486, '20', '25', '-2.34']
['RAY-USDT', '5m', 'RAY-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USDT', '5m', 'GRT-USDT', '2021-08-01', '2021-10-01', '65', '-63.95', '-70.27', -100, '34', '-3.88', '-1.42', '3', '5', 909, -1144, '22', '43', '3.6']
['KAVA-USDT', '5m', 'KAVA-USDT', '2021-08-01', '2021-10-01', '62', '-15.97', '-42.32', -64, '40', '-0.11', '-1.51', '4', '7', 791, -1151, '25', '37', '2.92']
['MASK-USDT', '5m', 'MASK-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DODO-USDT', '5m', 'DODO-USDT', '2021-08-01', '2021-10-01', '52', '-49.24', '-54.99', -98, '37', '-2.7', '-1.79', '3', '5', 792, -1140, '19', '33', '-3.58']
['RLC-USDT', '5m', 'RLC-USDT', '2021-08-01', '2021-10-01', '61', '57.93', '-33.55', 1373, '49', '2.67', '40.93', '8', '5', 1544, -2150, '30', '31', '4.84']
['1000SHIB-USDT', '5m', '1000SHIB-USDT', '2021-08-01', '2021-10-01', '59', '-29.07', '-29.8', -87, '39', '-1.37', '-2.91', '3', '5', 739, -1622, '23', '36', '15.54']
['COMP-USDT', '5m', 'COMP-USDT', '2021-08-01', '2021-10-01', '63', '-16.29', '-54.16', -65, '38', '-0.19', '-1.2', '6', '6', 739, -702, '24', '39', '-21.83']
