['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Serenity', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['NEAR-USDT', '5m', 'NEAR-USDT', '2021-04-01', '2021-12-19', '72', '-2.88', '-19.66', 22, '57', '0.11', '0.83', '1.12', '7', '4', 371, -649, '41', '31', '39.4']
['BZRX-USDT', '5m', 'BZRX-USDT', '2021-04-01', '2021-12-19', '89', '-28.05', '-28.84', -4, '52', '-0.01', '0.02', '-0.14', '7', '4', 460, -716, '46', '43', '-68.09']
['OMG-USDT', '5m', 'OMG-USDT', '2021-04-01', '2021-12-19', '86', '-11.75', '-22.59', 18, '53', '0.14', '0.69', '0.79', '8', '10', 438, -616, '46', '40', '-24.31']
['TRX-USDT', '5m', 'TRX-USDT', '2021-04-01', '2021-12-19', '56', '-16.69', '-14.92', 8, '48', '0.08', '0.48', '0.56', '6', '4', 407, -637, '27', '29', '-13.54']
['BAKE-USDT', '5m', 'BAKE-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GALA-USDT', '5m', 'GALA-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2021-04-01', '2021-12-19', '69', '-0.79', '-14.4', 38, '57', '1.26', '1.44', '2.65', '7', '4', 453, -675, '39', '30', '-67.06']
['EGLD-USDT', '5m', 'EGLD-USDT', '2021-04-01', '2021-12-19', '59', '-11.17', '-17.27', 24, '54', '0.41', '0.86', '1.42', '6', '3', 482, -837, '32', '27', '80.88']
['RUNE-USDT', '5m', 'RUNE-USDT', '2021-04-01', '2021-12-19', '90', '-53.78', '-43.07', -32, '50', '-0.04', '-0.65', '-0.73', '7', '7', 343, -2145, '45', '45', '-19.35']
['IOTX-USDT', '5m', 'IOTX-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '5m', 'C98-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '5m', 'TLM-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOST-USDT', '5m', 'IOST-USDT', '2021-04-01', '2021-12-19', '59', '23.78', '-10.85', 75, '59', '2.19', '2.7', '6.9', '6', '5', 512, -656, '35', '24', '-45.19']
['KSM-USDT', '5m', 'KSM-USDT', '2021-04-01', '2021-12-19', '65', '-26.05', '-16.55', 13, '46', '0.07', '0.64', '0.8', '4', '4', 451, -536, '30', '35', '-43.82']
['SXP-USDT', '5m', 'SXP-USDT', '2021-04-01', '2021-12-19', '63', '-20.45', '-19.61', 14, '49', '0.07', '0.66', '0.74', '5', '4', 476, -718, '31', '32', '-58.21']
['VET-USDT', '5m', 'VET-USDT', '2021-04-01', '2021-12-19', '64', '16.08', '-13.41', 51, '59', '0.69', '1.86', '3.84', '5', '3', 437, -549, '38', '26', '-4.85']
['XLM-USDT', '5m', 'XLM-USDT', '2021-04-01', '2021-12-19', '58', '7.29', '-14.08', 34, '60', '0.45', '1.41', '2.44', '7', '5', 483, -881, '35', '23', '-37.66']
['RAY-USDT', '5m', 'RAY-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USDT', '5m', 'GRT-USDT', '2021-04-01', '2021-12-19', '73', '2.29', '-15.19', 46, '55', '0.81', '1.43', '3.05', '5', '4', 465, -749, '40', '33', '-65.11']
['KAVA-USDT', '5m', 'KAVA-USDT', '2021-04-01', '2021-12-19', '65', '-29.12', '-15.51', 11, '48', '0.12', '0.53', '0.72', '3', '5', 401, -825, '31', '34', '-36.78']
['MASK-USDT', '5m', 'MASK-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DODO-USDT', '5m', 'DODO-USDT', '2021-04-01', '2021-12-19', '80', '-52.7', '-32.57', -14, '49', '-0.03', '-0.34', '-0.43', '10', '7', 428, -1050, '39', '41', '-79.26']
['RLC-USDT', '5m', 'RLC-USDT', '2021-04-01', '2021-12-19', '86', '-44.7', '-27.47', -25, '52', '-0.06', '-0.62', '-0.9', '5', '5', 374, -1977, '45', '41', '3.86']
['1000SHIB-USDT', '5m', '1000SHIB-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['COMP-USDT', '5m', 'COMP-USDT', '2021-04-01', '2021-12-19', '70', '-6.99', '-14.72', 14, '57', '0.21', '0.61', '0.98', '4', '3', 403, -567, '40', '30', '-49.28']
['WAVES-USDT', '5m', 'WAVES-USDT', '2021-04-01', '2021-12-19', '57', '22.73', '-11.3', 76, '61', '2.69', '2.38', '6.72', '4', '2', 504, -823, '35', '22', '43.5']
['CHR-USDT', '5m', 'CHR-USDT', '2021-04-01', '2021-12-19', '94', '-76.13', '-40.45', -45, '40', '-0.06', '-1.64', '-1.11', '6', '12', 412, -750, '38', '56', '39.67']
['XMR-USDT', '5m', 'XMR-USDT', '2021-04-01', '2021-12-19', '39', '-0.55', '-17.5', 14, '56', '0.07', '0.71', '0.77', '5', '5', 387, -665, '22', '17', '-26.31']
['ICX-USDT', '5m', 'ICX-USDT', '2021-04-01', '2021-12-19', '85', '-39.19', '-30.34', -19, '48', '-0.04', '-0.49', '-0.63', '6', '5', 329, -852, '41', '44', '-59.99']
['HBAR-USDT', '5m', 'HBAR-USDT', '2021-04-01', '2021-12-19', '58', '-19.73', '-21.49', -3, '50', '-0.01', '0.01', '-0.13', '5', '4', 391, -893, '29', '29', '-15.54']
['SAND-USDT', '5m', 'SAND-USDT', '2021-04-01', '2021-12-19', '93', '-24.0', '-26.24', 9, '51', '0.04', '0.42', '0.34', '6', '10', 457, -964, '47', '46', '539.14']
['DENT-USDT', '5m', 'DENT-USDT', '2021-04-01', '2021-12-19', '77', '73.28', '-7.03', 241, '60', '28.29', '4.21', '34.29', '6', '6', 832, -951, '46', '31', '-73.67']
['NEO-USDT', '5m', 'NEO-USDT', '2021-04-01', '2021-12-19', '65', '-25.8', '-19.02', -13, '52', '-0.08', '-0.35', '-0.66', '5', '3', 382, -705, '34', '31', '-49.84']
['SNX-USDT', '5m', 'SNX-USDT', '2021-04-01', '2021-12-19', '81', '-38.3', '-18.71', -16, '46', '-0.08', '-0.49', '-0.87', '4', '4', 364, -539, '37', '44', '-70.93']
['1000XEC-USDT', '5m', '1000XEC-USDT', '2021-04-01', '2021-12-19', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZEC-USDT', '5m', 'ZEC-USDT', '2021-04-01', '2021-12-19', '75', '11.81', '-20.13', 38, '61', '0.22', '1.26', '1.87', '5', '3', 392, -893, '46', '29', '-0.81']
