['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', 'N:hPB', '2021-08-01', '2021-09-25', '66', '10.66', '-9.26', 94, '39', '2.04', '10.1', '4', '5', 671, -223, '26', '40', '15.62']
['ETH-USD', '5m', 't=haB', '2021-08-01', '2021-09-25', '56', '-5.06', '-21.05', -29, '30', '-0.65', '-1.37', '4', '8', 571, -318, '17', '39', '15.62']
['ETH-USD', '5m', 'NSWHm', '2021-08-01', '2021-09-25', '28', '12.8', '-6.92', 119, '50', '2.43', '17.23', '4', '4', 740, -287, '14', '14', '15.62']
['ETH-USD', '5m', 'NSWGm', '2021-08-01', '2021-09-25', '28', '12.8', '-6.92', 119, '50', '2.43', '17.23', '4', '4', 740, -287, '14', '14', '15.62']
['ETH-USD', '5m', 'VPPOm', '2021-08-01', '2021-09-25', '30', '-3.06', '-13.16', -18, '30', '-0.37', '-1.39', '3', '8', 651, -378, '9', '21', '15.62']
['ETH-USD', '5m', 'NSWRm', '2021-08-01', '2021-09-25', '25', '13.55', '-7.76', 129, '52', '2.54', '16.61', '4', '4', 734, -288, '13', '12', '15.62']
['ETH-USD', '5m', 'N4hHB', '2021-08-01', '2021-09-25', '74', '11.75', '-8.71', 106, '39', '2.11', '12.21', '4', '5', 638, -194, '29', '45', '15.62']
['ETH-USD', '5m', '>]PVp', '2021-08-01', '2021-09-25', '25', '3.81', '-8.5', 28, '48', '0.91', '3.25', '3', '3', 577, -341, '12', '13', '15.62']
['ETH-USD', '5m', 'NSWKm', '2021-08-01', '2021-09-25', '26', '12.98', '-7.78', 122, '50', '2.49', '15.61', '4', '4', 729, -287, '13', '13', '15.62']
['ETH-USD', '5m', 's=haB', '2021-08-01', '2021-09-25', '60', '-2.83', '-19.37', -17, '32', '-0.27', '-0.88', '4', '8', 580, -318, '19', '41', '15.62']
['ETH-USD', '5m', 'r=WUI', '2021-08-01', '2021-09-25', '52', '-0.86', '-19.2', -5, '35', '0.05', '-0.28', '3', '8', 589, -319, '18', '34', '15.62']
['ETH-USD', '5m', 'NL3OB', '2021-08-01', '2021-09-25', '50', '11.76', '-8.76', 106, '36', '2.46', '12.15', '4', '8', 584, -323, '18', '32', '15.62']
['ETH-USD', '5m', 'NmL(I', '2021-08-01', '2021-09-25', '26', '7.16', '-9.03', 57, '31', '1.51', '6.3', '2', '5', 944, -169, '8', '18', '15.62']
['ETH-USD', '5m', 'N73VI', '2021-08-01', '2021-09-25', '72', '4.47', '-13.19', 33, '40', '1.11', '2.5', '4', '4', 419, -194, '29', '43', '15.62']
