['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['ALPHA-USDT', '30m', 'ALPHA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SFP-USDT', '30m', 'SFP-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['STORJ-USDT', '30m', 'STORJ-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CVC-USDT', '30m', 'CVC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OGN-USDT', '30m', 'OGN-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BEL-USDT', '30m', 'BEL-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KEEP-USDT', '30m', 'KEEP-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONT-USDT', '30m', 'ONT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AUDIO-USDT', '30m', 'AUDIO-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTT-USDT', '30m', 'BTT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAND-USDT', '30m', 'BAND-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BLZ-USDT', '30m', 'BLZ-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['STMX-USDT', '30m', 'STMX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LIT-USDT', '30m', 'LIT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
